typeID;typeName;published
0;#System;0
2;Corporation;0
3;Region;0
4;Constellation;0
5;"Solar System";0
6;"Sun G5 (Yellow)";0
7;"Sun K7 (Orange)";0
8;"Sun K5 (Red Giant)";0
9;"Sun B0 (Blue)";0
10;"Sun F0 (White)";0
11;"Planet (Temperate)";0
12;"Planet (Ice)";0
13;"Planet (Gas)";0
14;Moon;0
15;"Asteroid Belt";0
16;"Stargate (Caldari System)";0
17;"Stargate (Amarr Constellation)";0
18;Plagioclase;1
19;Spodumain;1
20;Kernite;1
21;Hedbergite;1
22;Arkonor;1
23;"Cargo Container";0
24;Ring;0
25;"Corpse Male";1
26;"Office Folder";0
27;Office;0
28;"Factory Folder";0
29;Credits;0
30;Faction;0
34;Tritanium;1
35;Pyerite;1
36;Mexallon;1
37;Isogen;1
38;Nocxium;1
39;Zydrine;1
40;Megacyte;1
41;Garbage;1
42;"Spiced Wine";1
43;Antibiotics;1
44;"Enriched Uranium";1
45;"Frozen Plant Seeds";1
49;"Player Kill";0
50;"Company Shares";0
51;Bookmark;0
52;Trading;0
53;"Trade Session";0
54;"Caldari Logistics Station";0
56;"Gallente Military Station";0
57;"Gallente Station Hub";0
58;C-O-1;0
59;C-O-2;0
60;"Asset Safety Wrap";0
164;"Clone Grade Alpha";0
165;"Clone Grade Beta";0
166;"Clone Grade Gamma";0
178;"Carbonized Lead S";1
179;"Nuclear S";1
180;"Proton S";1
181;"Depleted Uranium S";1
182;"Titanium Sabot S";1
183;"Fusion S";1
184;"Phased Plasma S";1
185;"EMP S";1
186;"Carbonized Lead M";1
187;"Nuclear M";1
188;"Proton M";1
189;"Depleted Uranium M";1
190;"Titanium Sabot M";1
191;"Fusion M";1
192;"Phased Plasma M";1
193;"EMP M";1
194;"Carbonized Lead L";1
195;"Nuclear L";1
196;"Proton L";1
197;"Depleted Uranium L";1
198;"Titanium Sabot L";1
199;"Fusion L";1
200;"Phased Plasma L";1
201;"EMP L";1
202;"Mjolnir Cruise Missile";1
203;"Scourge Cruise Missile";1
204;"Inferno Cruise Missile";1
205;"Nova Cruise Missile";1
206;"Nova Heavy Missile";1
207;"Mjolnir Heavy Missile";1
208;"Inferno Heavy Missile";1
209;"Scourge Heavy Missile";1
210;"Scourge Light Missile";1
211;"Inferno Light Missile";1
212;"Mjolnir Light Missile";1
213;"Nova Light Missile";1
215;"Iron Charge S";1
216;"Tungsten Charge S";1
217;"Iridium Charge S";1
218;"Lead Charge S";1
219;"Thorium Charge S";1
220;"Uranium Charge S";1
221;"Plutonium Charge S";1
222;"Antimatter Charge S";1
223;"Iron Charge M";1
224;"Tungsten Charge M";1
225;"Iridium Charge M";1
226;"Lead Charge M";1
227;"Thorium Charge M";1
228;"Uranium Charge M";1
229;"Plutonium Charge M";1
230;"Antimatter Charge M";1
231;"Iron Charge L";1
232;"Tungsten Charge L";1
233;"Iridium Charge L";1
234;"Lead Charge L";1
235;"Thorium Charge L";1
236;"Uranium Charge L";1
237;"Plutonium Charge L";1
238;"Antimatter Charge L";1
239;"Radio S";1
240;"Microwave S";1
241;"Infrared S";1
242;"Standard S";1
243;"Ultraviolet S";1
244;"Xray S";1
245;"Gamma S";1
246;"Multifrequency S";1
247;"Radio M";1
248;"Microwave M";1
249;"Infrared M";1
250;"Standard M";1
251;"Ultraviolet M";1
252;"Xray M";1
253;"Gamma M";1
254;"Multifrequency M";1
255;"Radio L";1
256;"Microwave L";1
257;"Infrared L";1
258;"Standard L";1
259;"Ultraviolet L";1
260;"Xray L";1
261;"Gamma L";1
262;"Multifrequency L";1
263;"Cap Booster 25";1
264;"Cap Booster 50";1
265;"Heavy Defender Missile I";0
266;"Scourge Rocket";1
267;"Scourge Torpedo";1
269;"Mjolnir Auto-Targeting Light Missile I";1
270;"Python Mine";0
377;"Small Shield Extender I";1
380;"Small Shield Extender II";1
393;"Shield Recharger I";1
394;"Shield Recharger II";1
399;"Small Shield Booster I";1
400;"Small Shield Booster II";1
405;"'Micro' Remote Shield Booster";1
406;"Micro Remote Shield Booster II";0
421;"'Basic' Capacitor Recharger";1
434;"5MN Microwarpdrive I";1
438;"1MN Afterburner II";1
439;"1MN Afterburner I";1
440;"5MN Microwarpdrive II";1
442;"Cargo Scanner I";1
443;"Ship Scanner I";1
444;"Survey Scanner I";1
447;"Warp Scrambler I";1
448;"Warp Scrambler II";1
450;"Gatling Pulse Laser I";1
451;"Dual Light Pulse Laser I";1
452;"Dual Light Beam Laser I";1
453;"Small Focused Pulse Laser I";1
454;"Small Focused Beam Laser I";1
455;"Quad Light Beam Laser I";1
456;"Focused Medium Pulse Laser I";1
457;"Focused Medium Beam Laser I";1
